pix_x,pix_y,estimated z,actual z
1188,1012,28.111,27
1199,1012,28.111,27
1121,1015,27.897,27
1072,1012,28.111,27
1015,1017,27.756,27
969,1017,27.756,27
807,1012,28.111,27
726,1015,27.897,27
669,1027,27.073,27
582,1023,27.342,27
533,1025,27.207,27
1234,1008,28.402,27
1407,1012,28.111,27
1130,909,38.165,37
1072,911,37.902,37
1038,911,37.902,37
969,917,37.134,37
940,916,37.259,37
908,916,37.259,37
842,916,37.259,37
963,922,36.517,37
1072,917,37.134,37
1153,905,38.703,37
1352,912,37.772,37
868,911,37.902,37
1090,852,47.581,46
1046,859,46.182,46
1018,860,45.988,46
989,860,45.988,46
963,855,46.971,46
937,855,46.971,46
1087,855,46.971,46
1159,854,47.173,46
1309,855,46.971,46
1314,857,46.573,46
871,859,46.182,46
1118,819,55.513,54
1058,822,54.684,54
1026,822,54.684,54
992,825,53.88,54
969,825,53.88,54
937,825,53.88,54
1018,822,54.684,54
1098,824,54.146,54
1165,822,54.684,54
1242,816,56.367,54
1061,805,59.733,62
1058,800,61.401,62
1015,797,62.448,62
969,800,61.401,62
945,797,62.448,62
977,797,62.448,62
1032,797,62.448,62
1087,802,60.723,62
1133,797,62.448,62
1193,798,62.095,62
1219,795,63.166,62
1087,784,67.433,72
1043,786,66.615,72
1058,781,68.697,72
1072,778,70.01,72
1101,778,70.01,72
1139,784,67.433,72
1150,778,70.01,72
1185,778,70.01,72
1081,784,67.433,72
1015,783,67.849,72
992,778,70.01,72
974,781,68.697,72
1035,779,69.567,72
1052,775,71.374,72
1069,768,74.779,88
1081,762,77.961,88
1104,762,77.961,88
1130,759,79.656,88
1130,759,79.656,88
1026,762,77.961,88
986,771,73.283,88
971,771,73.283,88
966,767,75.291,88
1023,759,79.656,88
1049,765,76.337,88
1072,760,79.083,88
1095,760,79.083,88
1095,760,79.083,88
1110,760,79.083,88
969,765,76.337,88
